,ENSG00000118785.14,ENSG00000143320.9,ENSG00000147689.16,ENSG00000164266.11,ENSG00000105388.16,ENSG00000164932.13,ENSG00000099953.10,ENSG00000211892.4,ENSG00000183010.17,ENSG00000175063.17,ENSG00000163993.7,ENSG00000179913.11,ENSG00000196611.5,ENSG00000123500.10,ENSG00000029993.15,ENSG00000168484.12,ENSG00000204305.14,ENSG00000066405.13,ENSG00000170323.9,ENSG00000122852.15,ENSG00000149021.7,ENSG00000185303.17,ENSG00000244734.4,ENSG00000243566.7,ENSG00000188536.13,ENSG00000156076.10,ENSG00000142748.13,ENSG00000183019.7,ENSG00000108576.10,ENSG00000105974.13,Label
TCGA-38-7271-01A,5.444991663208048,8.685850117318688,3.670001842946028,4.905187210265151,7.580918042176516,3.8756031550103063,1.997292407636508,7.886834220051811,4.537861353610497,3.2151038888650647,6.388513314894524,3.0700114297013847,3.1874193809015847,3.5835431526370485,5.362785465690499,10.465319472645652,4.606015752775232,4.006199267281717,2.664095945972815,10.75017686796982,6.77878154481917,10.95344291636466,6.033248986603162,0.6940332660851256,4.402940419799033,3.081799771054202,4.098714305853738,1.4628899384097085,0.1211480564753105,4.998023958500665,1
TCGA-55-7914-01A,8.25710823450123,2.1536756497972376,3.035553532646345,0.8238308662002686,0.7427823402000189,4.824650763049805,2.9134160332853054,5.223789355626459,4.793136369480066,3.5649024679311214,2.0712134896052645,0.751206609742853,3.331475926123189,4.4063325778217095,4.557495867498945,7.934832557767388,6.056258365138766,2.9632891512147266,0.4965134808768024,10.058330702733064,1.3403343821182447,9.90746921066619,2.1915942329960663,0.9687911878835912,1.1612427583425111,1.9856825772707083,2.419323145283251,0.1116990721974202,0.3164933377753146,3.741218875453124,1
TCGA-95-7043-01A,8.44640512421703,3.719282026751606,4.752914470395236,2.324407398767061,10.777997516205769,3.9771241956306738,2.47692599809657,4.586668680562112,5.640288324894426,5.395988186274192,10.055412868761705,1.9359499922268133,1.6845494691838423,2.8138940376156336,6.700621430783811,4.6187672336456185,2.9800984388177914,0.7030120792508725,1.6270464593924086,3.883083126484608,1.2345013205622104,3.945598339865416,3.9310967840045583,1.9381728563451568,0.0,0.1467855409887005,1.8695161160480491,0.3067288670597715,0.0382956981815445,6.1387939945426355,1
TCGA-73-4658-01A,9.685288784914272,7.946272928271459,5.05404096681795,5.16081533734775,3.668618397801788,6.59036847722276,5.393313225605091,4.759539364954017,5.141359215530043,5.008177599309786,4.7679248810574215,2.7100625137015077,3.771209486866468,5.402282180529702,7.228956220867602,6.838284958722564,3.814222267868368,2.443341425803227,2.324436202836839,9.696919377656585,5.599835499761306,9.573447998522347,5.681893362615374,0.9021893762720684,3.431582847152664,0.6718368286812048,2.373926562684365,1.7932300296898485,0.3162616167595757,4.999499478343448,1
TCGA-86-8076-01A,6.12963746418185,4.659370886433334,4.081339627451939,4.411846518586939,2.1834229931912894,4.567898290425242,1.976106970837209,8.151282467662776,4.080973111814072,2.4344814488829987,8.54830406329247,3.43235815907366,2.935949992226813,2.6515224640852506,6.3403824550087355,7.9225742941504,4.822541514706697,3.3734672541540065,1.6086200243604925,9.913338985922318,7.77211659189295,10.416271222585426,4.519258822757765,0.6683914768958221,3.152994605492435,2.701792997047867,2.1293159924547536,1.2148708340039052,0.1845976841557608,4.458815062664396,1
TCGA-55-7726-01A,7.43197055519525,6.270719544937265,4.9806285826580385,0.8475961022626406,5.405468266765709,7.0756203368297665,5.190314596700415,9.281181021686397,2.704008744501408,5.978479380622464,7.704519268706768,4.376130599903481,7.67319316056262,5.521782580742269,5.4567470211728875,0.2958405509170355,1.0071955014042038,0.2174789004705309,1.5281211878113783,3.854703850556338,1.1198209521218747,4.589463892956097,3.3165802235617776,2.798548267582626,1.1174290835868943,0.1063483195051467,0.6391395313804283,1.3348542693316323,0.0571383043935417,7.55354328637888,1
TCGA-44-6147-01A,7.692399647908786,6.899037832986174,3.074162875507007,2.694066706829978,8.066169128621286,4.665475205154641,2.4992846412930874,8.016702170500038,4.971918261129022,2.9526504025800975,6.701949595943464,3.5243834310520152,1.3387666844217991,4.804572476412838,4.938010496017934,7.018334286178767,3.6812468465109993,2.877822761828474,2.1486087702052203,9.34037444297156,9.33485482785754,9.777838358536917,6.998275625574704,0.4093637792695725,4.02530348299724,2.047974551369364,1.537196653154688,0.736951167143662,0.1279633781235818,5.623784941411341,1
TCGA-50-5932-01A,2.772688026047782,8.463961202598437,4.4999670364970115,10.854912707281194,3.828144102365629,2.3234565416969333,2.5106075296036647,3.82310734044456,4.755127931301745,3.658588533961896,8.159582768912463,4.157173094033465,0.5506052019627573,3.559871097917609,7.300598747071962,7.333070351819855,4.8985518104417505,2.404167421637106,1.1327084394083,7.903339001143835,0.1844707366400919,8.013023913186261,3.4952858293709643,1.2334586227426534,2.003494300345303,5.048079210776545,1.6074841930138908,2.2449174954067157,0.1851053625425915,3.770670499404396,1
TCGA-44-2661-01A,8.378274478106993,5.973599796359856,2.1848832752303444,5.90503313276506,4.550482074649534,5.850634425693896,4.349414819842493,8.148479632807737,4.102725310011088,2.9528553771737425,4.889390794491095,2.889707158439787,6.105233871288785,4.442299943510452,4.36813973900714,11.682431085439005,6.3301801090702305,6.857790696076319,3.3581148977352084,10.05754233311928,7.848376941517742,11.486876341365882,5.922278736022213,1.1105636965540189,3.1509657835564977,2.4657394362140415,1.9605117101190244,4.32147357435874,0.4101239784129267,4.805560743035866,1
TCGA-86-7954-01A,6.817085983795423,6.982367320546762,4.219857751014224,7.295423656297834,8.895232630019777,5.559886389564791,3.5200575997785992,4.411907515762962,4.776172435484211,4.840976772107847,4.636821799556406,3.763698385179048,1.583759753639499,3.1526539627409083,7.003308765900187,6.418427790828487,3.727561097084,1.7406685641404047,0.9967502788491844,8.027138013112557,4.154340168799875,8.43913606266372,3.942814742332301,0.9873208659292536,2.684033230958449,0.7867636211850512,1.5506052019627572,1.0285691521967708,0.0802483300921203,3.405774577949876,1
TCGA-64-5775-01A,7.969620211815585,2.775703768977776,3.4555836766274988,0.1996252356577324,0.047957107396655,8.082600411842272,2.8482373356932267,4.161436265825987,3.827219470423755,6.245469041778008,1.85606940201505,0.8818995030547616,6.83979838350692,0.1598874787305004,4.4435270888934895,0.0201999229434977,0.6336636968666319,0.1567849075543597,5.977394418562941,0.0132121114268511,0.0,0.0472591754780128,1.9600668229157592,0.0126401807787703,1.664755879833224,3.496641301185464,1.123864809909961,1.3326792942488306,0.0230423926658638,8.197106582029386,1
TCGA-73-4662-01A,6.562129446852562,9.3576577837149,1.7704907921600954,7.0479876342104815,7.2926547717551315,4.522068307384866,4.231048335011496,6.252784627247615,4.550709851917446,3.924470490911501,1.8998330092579891,2.936063101900921,2.362329610171569,3.2590916679730757,6.7329787028747194,4.118392952079909,2.7782926961054604,1.5678374616192177,1.7880592236495505,11.819022427857218,5.330110177129478,12.038164737154403,3.8605059879540344,0.2997135600642419,2.10114578420201,4.038102511064948,1.9742356042090707,3.3953781831597896,0.1432627930386199,3.544460656935344,1
TCGA-44-7671-01A,6.01250610172927,1.482486918842569,4.3238456044303675,4.670387156973834,2.563353405855311,4.279449008731218,2.936647360653706,4.491923626363176,5.368097821928078,2.4817122620033043,10.958566997316252,4.015854345379756,2.4027221768456046,4.885257092756531,6.216258896753475,0.6059683588414584,2.56664469895789,0.033652052489997,1.8656417271688623,10.846717230983494,8.272439901217652,9.940259853001418,4.248762516252919,0.1919415926214799,0.0,2.956335496927182,1.035483152128689,0.2527789515281839,0.023894042655701,6.171501086054544,1
TCGA-78-8660-01A,3.59598097896562,8.29260186117624,4.564890277086405,3.007518456680907,9.405955143448155,5.33900194770392,2.3253576295553544,7.016975385542953,6.4862236316951005,7.037904906570716,8.346485809765584,4.245305501742907,3.696394506083144,1.2727995861377854,5.4004969433469645,9.14714360273866,6.772195787964766,3.891127507421783,0.9894296974842456,10.585275144693425,4.336433363216634,10.995293004228756,2.4147308940046908,3.1596453304829173,1.7994603686216728,2.4962066659234847,4.5390595254523385,0.5720165131289404,0.249991368358195,6.386326403703862,1
TCGA-62-A46P-01A,5.572550170821441,1.862907585756396,3.836802759475875,10.777303486427243,4.442014565559888,4.092647217110063,1.9449333890579072,6.965469165652909,5.616192996381078,4.665767950314902,10.193761272979716,4.388795699975099,3.092900874803969,1.2903064354249143,6.0967762865722275,6.790442338120354,3.355270038914924,1.4186757129428915,0.5572875422783079,8.479240667927577,4.4207518632670535,9.108854775216283,4.055820362826449,0.549619889097734,3.595885527905948,4.275342345707115,2.6964167635411367,1.289067184060908,0.0278617753545095,3.3622454364768113,1
